z(cm)	  Dose(mGy)	(O14)Con.	(C10)Con.	(N13)Con.	(C11)Con.	(O15)Con.	tot.con.(1/cm3)
 28.0	 1.728e-04	     1.85	     0.60	     0.00	     0.45	     0.06	    2.96
 28.1	 1.716e-04	     2.51	     0.48	     0.00	     0.32	     0.13	    3.44
 28.2	 1.716e-04	     1.69	     0.32	     0.00	     0.19	     0.03	    2.23
 28.3	 1.693e-04	     1.97	     0.57	     0.03	     0.22	     0.06	    2.86
 28.4	 1.676e-04	     2.10	     0.60	     0.06	     0.16	     0.00	    2.93
 28.5	 1.634e-04	     2.10	     0.51	     0.03	     0.16	     0.00	    2.80
 28.6	 1.635e-04	     2.04	     0.51	     0.10	     0.16	     0.06	    2.86
 28.7	 1.640e-04	     1.88	     0.57	     0.03	     0.13	     0.03	    2.64
 28.8	 1.637e-04	     1.78	     0.48	     0.13	     0.16	     0.19	    2.74
 28.9	 1.603e-04	     1.81	     0.57	     0.06	     0.13	     0.06	    2.64
 29.0	 1.597e-04	     1.78	     0.29	     0.00	     0.22	     0.03	    2.32
 29.1	 1.609e-04	     1.27	     0.32	     0.03	     0.10	     0.06	    1.78
 29.2	 1.610e-04	     1.85	     0.38	     0.10	     0.10	     0.03	    2.45
 29.3	 1.569e-04	     1.50	     0.51	     0.03	     0.19	     0.06	    2.29
 29.4	 1.561e-04	     2.16	     0.41	     0.00	     0.16	     0.00	    2.74
 29.5	 1.571e-04	     2.04	     0.25	     0.03	     0.16	     0.00	    2.48
 29.6	 1.598e-04	     2.23	     0.48	     0.03	     0.38	     0.13	    3.25
 29.7	 1.601e-04	     2.10	     0.51	     0.06	     0.22	     0.03	    2.93
 29.8	 1.524e-04	     1.46	     0.41	     0.10	     0.06	     0.06	    2.10
 29.9	 1.496e-04	     1.94	     0.35	     0.00	     0.32	     0.06	    2.67
 30.0	 1.485e-04	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00
